,centroid,bandwidth,rolloff,zcr,flatness,spectral_contrast,chroma,loudness,rhythm_strength,tempo,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,genre
0,1784.4165456667672,2002.6571062203575,3806.4186497738488,0.08306639113293343,0.00449778,20.52688087108691,0.34995052,0.130192,1.3923483,123.046875,-113.619385,121.55302,-19.151056,42.345768,-6.3711677,18.613033,-13.69206,15.339378,-12.283617,10.973776,-8.32241,8.8067875,-3.665802,5.745939,-5.161711,0.7502978,-1.688358,-0.40932855,-2.298869,1.219947,blues
1,1529.8713139905356,2038.6121426557384,3548.9868730952494,0.056044256724071206,0.0022948887,20.6722637211104,0.3409451,0.095891684,1.4457797,107.666015625,-207.58151,123.99715,8.939115,35.870758,2.9199703,21.518787,-8.555369,23.355938,-10.101037,11.906445,-5.5581226,5.375942,-2.2378328,4.2171254,-6.0110474,0.93266803,-0.7170279,0.29233325,-0.28571686,0.53214425,blues
2,1552.6377862410236,1747.3820283592022,3041.0899442784926,0.07630074799245357,0.0026317355,22.19179405193886,0.36356187,0.17549369,1.6393421,161.4990234375,-90.776344,140.44861,-29.10056,31.68734,-13.975971,25.741682,-13.644712,11.623112,-11.77592,9.700466,-13.115349,5.7857633,-8.899733,-1.0870236,-9.216774,2.4536483,-7.721793,-1.8164973,-3.4343538,-2.2313912,blues
3,1070.1100590065269,1596.244204385719,2185.0617872303114,0.03330894446594427,0.0009533673,21.428385812778387,0.40484834,0.14113921,1.2485352,172.265625,-199.462,150.09473,5.649167,26.870144,1.7554406,14.23688,-4.8288727,9.297849,-0.7531419,8.147393,-3.1952357,6.085354,-2.4761884,-1.0762246,-2.8760564,0.77690876,-3.3200555,0.6372628,-0.6175069,-3.40694,blues
4,1835.507008508757,1748.3674768917701,3581.003346162684,0.1015001421004257,0.0032400058,21.46301662416645,0.30859816,0.0915404,1.6463543,135.99917763157896,-160.29185,126.19576,-35.602497,22.151169,-32.48764,10.862022,-23.357162,0.50052303,-11.80477,1.2038774,-13.085074,-2.8098488,-6.935621,-7.5592937,-9.172152,-4.5104084,-5.4537363,-0.92446786,-4.408076,-11.701833,blues
5,1831.9900686058331,1729.4562590216906,3480.8539517523704,0.09403986975135449,0.0030648096,22.544687676555064,0.30241403,0.10343772,1.518878,112.34714673913044,-177.88876,118.18953,-17.550728,30.753101,-21.732107,11.898545,-20.73228,3.176169,-8.575771,-0.9401844,-11.773799,-2.426076,-9.342486,-9.947082,-3.9053469,-5.568541,-1.8399693,-2.7841752,-3.0461123,-8.115228,blues
6,1459.0353759867003,1388.725515466686,2795.67476160386,0.07302790308146284,0.0009698256,23.42585286717548,0.29140565,0.1416879,1.6391699,123.046875,-190.17502,130.29242,-36.348473,33.02909,11.085681,-0.5963725,-20.882357,0.27711597,-6.5008707,-5.515623,-7.8452888,-3.123599,-6.595716,-9.947577,-6.540925,-10.07138,-10.912119,-6.970003,-3.4485123,-6.498458,blues
7,1451.8494581954892,1577.5518581341069,2955.7654602239745,0.06143500266060371,0.0014372787,22.440333741917733,0.30731454,0.13174523,1.5441256,92.28515625,-179.42007,136.4421,-26.644339,39.97959,5.3018136,10.921237,-20.555347,8.507477,-11.35436,-3.4690983,-8.414114,-6.956977,-3.5483484,-8.051683,-8.9604845,-8.421077,-10.5585985,-10.790192,-4.7007947,-8.638816,blues
8,1719.273937358532,2031.6873439517926,3781.5188003398316,0.06402757957623839,0.0025929958,22.373432035398416,0.40899816,0.14236063,1.4520382,83.35433467741936,-121.387115,122.505394,-14.739394,46.135292,-8.160384,20.17051,-19.169321,23.050188,-11.825939,21.17341,-6.7202907,7.0050187,-12.739911,5.064209,-5.1730757,-1.446995,-7.0369287,2.6948745,3.4093323,-2.6991909,blues
9,1817.5295466580833,1973.6903092643117,3944.584480970637,0.0792153184258901,0.00271008,21.15817625607948,0.27401423,0.08132098,1.2488515,129.19921875,-213.20453,115.15454,-11.720503,39.032555,-20.357819,13.089926,-9.180816,9.023639,-14.101023,4.283337,-6.0441957,3.786368,0.22368738,-5.114481,-0.4145369,-1.1848985,-1.9183391,-2.2957964,2.89123,-4.234533,blues
